ID,VAR00,VAR00.1,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
59,TUR_82,TR_82,Turkey,1,,0,35,2,1,3,5,2,2,2,2,2,2,2,2,1,4,1,1,not rejected,999,99,99,999,999,999,1,999
66,TUR_88,TR_88,Turkey,1,,0,46,5,1,3,5,2,2,2,2,2,2,2,2,1,4,1,1,not rejected,999,99,99,999,999,0,0,0
67,TUR_89,TR_89,Turkey,1,,1,60,1,2,0,1,2,1,2,2,2,2,2,2,2,4,1,1,not rejected,24,99,99,999,1,1,1,1
82,PLMiSy21,PLM_21,Poland,1,,0,27,0,5,3,3,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,999,99,99,999,1,0,1,999
83,SYR- F- MUN- 14.08,DE_33,Germany,1,,1,41,0,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,99,99,999,999,0,1,1
84,PLMICh07,PLM_7,Poland,4,Russia (Chechnya),1,38,2,4,1,1,2,2,2,1,2,2,2,2,2,3,0,1,not rejected,14,0,0,999,999,0,1,999
86,SYR-M-MUN-08.09,DE_34,Germany,1,,0,20,0,5,2,2,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,1,0,0,999,1,999,0,1
87,SYR- M- MUN- 27.11,DE_35,Germany,1,,0,20,0,5,1,2,2,2,2,2,2,2,2,2,1,2,999,0,not rejected,999,99,0,999,1,999,1,1
89,PLMICh01,PLM_1,Poland,4,Russia (Chechnya),1,41,3,1,2,8,2,2,2,1,2,2,2,2,2,3,0,1,not rejected,999,0,99,999,999,0,1,999
95,AFGH-W-Goe-1710,DE_36,Germany,2,,1,24,0,1,999,1,2,2,2,2,2,1,2,2,2,1,999,1,rejected,999,1,2,999,999,1,999,1
