ID,VAR00,VAR00,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
219,SWE_27,SWE_27,11,1,,0,37,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,0,4,0,99,999,999,999,1,0
220,SWE_56,SWE_56,11,2,,1,40,4,1,999,2,2,2,1,2,2,2,2,2,2,1,0,0,1,12,1,1,999,1,1,0,999
222,IRA-W-BER-0512,DE_11,9,4,Iran,1,32,999,5,3,5,2,2,2,2,1,2,2,2,2,4,0,1,1,999,99,1,999,1,1,1,1
225,SWE_10,SWE_10,11,1,,1,48,2,1,3,4,2,2,2,1,2,2,2,2,2,4,0,1,0,15,0,0,999,999,1,0,999
227,SWE_52,SWE_52,11,2,,1,38,4,1,1,8,2,2,2,2,2,2,2,2,1,1,0,0,1,999,1,1,999,1,1,0,999
231,SWE_6,SWE_6,11,1,,0,32,999,5,3,5,2,2,2,2,2,2,2,2,1,2,999,1,0,999,99,99,999,1,999,1,1
234,SWE_7,SWE_7,11,1,,0,39,0,5,1,3,2,2,2,2,2,2,2,2,1,4,1,1,999,999,99,99,999,999,999,0,1
235,SWE_19,SWE_19,11,1,,0,54,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,0,999,99,99,999,1,1,1,1
238,SWE_16,SWE_16,11,1,,0,43,4,1,2,5,2,2,2,2,2,2,2,2,1,4,0,1,0,999,99,99,999,999,1,0,999
243,SWE_31,SWE_31,11,1,,1,22,999,5,3,8,2,2,2,2,2,2,2,2,1,2,999,1,0,7,99,0,999,1,1,1,999
244,SWE_33,SWE_33,11,1,,1,39,3,2,3,8,2,2,2,2,2,1,2,2,2,2,999,1,0,30,99,99,999,1,1,1,0
247,SWE_24,SWE_24,11,1,,1,28,9,2,3,3,2,2,2,2,2,2,2,2,1,2,999,1,0,1,99,99,999,999,1,1,999
249,SWE_28,SWE_28,11,1,,1,66,2,4,3,7,2,2,2,2,2,2,2,2,1,3,999,1,0,6,1,0,999,1,999,1,999
250,SWE_35,SWE_35,11,1,,1,48,3,1,3,999,2,2,2,2,2,1,2,2,2,2,999,1,0,6,99,99,999,1,1,1,1
252,SWE_15,SWE_15,11,1,,0,50,4,1,3,6,2,2,2,2,2,2,2,2,1,2,1,1,0,7,99,99,999,0,0,0,1
254,SWE_37,SWE_37,11,1,,1,42,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,0,999,0,0,999,999,999,1,999
255,SWE_38,SWE_38,11,1,,0,36,999,5,3,5,2,2,2,2,2,2,2,2,1,4,999,1,0,3,0,0,999,999,999,1,1
257,SWE_46,SWE_46,11,3,,1,32,3,2,3,7,2,2,2,1,2,1,2,2,2,2,999,1,0,18,99,99,999,1,1,1,1
258,SWE_45,SWE_45,11,3,,0,64,5,2,999,999,2,2,2,2,2,2,2,2,1,1,999,0,1,3,1,1,7,999,1,0,999
259,SWE_48,SWE_48,11,2,,0,18,999,5,999,8,2,2,2,2,2,2,2,2,1,1,999,0,1,999,1,2,999,999,999,1,1
260,SWE_40,SWE_40,11,1,,0,31,0,1,3,6,2,2,2,2,2,2,2,2,1,3,999,1,0,12,0,99,999,1,0,1,999
262,SWE_43,SWE_43,11,1,,0,30,999,5,3,4,2,2,2,2,2,2,2,2,1,4,0,1,0,1,99,99,999,0,0,1,999
264,SWE_20,SWE_20,11,1,,0,41,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,0,999,99,99,999,1,0,1,999
268,SWE_50,SWE_50,11,2,,0,32,5,1,0,1,2,2,2,2,2,2,1,1,2,1,0,0,1,5,1,2,999,1,1,0,1
270,OzU_2,TR_105,3,1,,1,45,4,1,3,8,2,2,2,2,2,2,2,1,2,4,0,999,999,999,99,99,999,0,0,0,999
272,ALGSYR-W-BER-02/08,DE_12,9,4,Algeria,1,33,3,1,999,999,2,2,2,2,2,2,2,2,1,3,999,999,999,999,99,99,999,999,999,1,1
